zonas,enderecos,precos,area,quarto
norte,"Rua Marechal Hermes Da Fonseca, Santana, São Paulo Zona Norte, São Paulo",5000,133.0,3.0
norte,"Rua Guaranésia, Vila Maria, São Paulo Zona Norte, São Paulo",2600,117.0,3.0
norte,"Avenida Nelson Palma Travassos, Loteamento City Jaragua, São Paulo Zona Norte, São Paulo",1386,45.0,2.0
norte,"Vila Amália, São Paulo Zona Norte, São Paulo",1350,54.0,2.0
norte,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",2500,44.0,1.0
norte,"Vila Primavera, São Paulo Zona Norte, São Paulo",1100,50.0,2.0
norte,"Rua Nereu Rangel Pestana, Brasilândia, São Paulo Zona Norte, São Paulo",1300,34.0,2.0
norte,"Avenida Sebastião Henriques, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2300,63.0,3.0
norte,"Rua Deputado Laércio Cortes, Parque Tietê, São Paulo Zona Norte, São Paulo",16000,490.0,4.0
norte,"Santana, São Paulo Zona Norte, São Paulo",5000,134.0,3.0
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3900,80.0,3.0
norte,"Rua Filipe Da Silva, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1800,70.0,3.0
norte,"Rua Marechal Hermes Da Fonseca, Santana, São Paulo Zona Norte, São Paulo",2200,70.0,2.0
norte,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3900,72.0,3.0
norte,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1500,20.0,1.0
norte,"Rua Doutor Fleury Silveira, Vila Santa Maria, São Paulo Zona Norte, São Paulo",1650,42.0,2.0
norte,"Vila Leonor, São Paulo Zona Norte, São Paulo",1080,38.0,1.0
norte,"Vila Maria Alta, São Paulo Zona Norte, São Paulo",7500,200.0,4.0
norte,"Vila Roque, São Paulo Zona Norte, São Paulo",1600,62.0,2.0
norte,"Rua Durval Fontoura Castro, Vila Paulista, São Paulo Zona Norte, São Paulo",2100,58.0,2.0
norte,"Rua Togo, Jardim Japão, São Paulo Zona Norte, São Paulo",1900,68.0,3.0
norte,"Sítio Morro Grande, São Paulo Zona Norte, São Paulo",1550,48.0,2.0
norte,"Jardim Paraíso, São Paulo Zona Norte, São Paulo",1600,65.0,2.0
norte,"Água Fria, São Paulo Zona Norte, São Paulo",3200,158.0,4.0
norte,"Rua João De Sousa Dias, Jardim Virgínia Bianca, São Paulo Zona Norte, São Paulo",3800,107.0,3.0
norte,"Rua Soldado José Fernandes Da Silva, Jardim Japão, São Paulo Zona Norte, São Paulo",2000,60.0,3.0
norte,"Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1050,48.0,2.0
norte,"Rua Desembargador Euclides Da Silveira, Casa Verde, São Paulo Zona Norte, São Paulo",4700,80.0,2.0
norte,"Vila Medeiros, São Paulo Zona Norte, São Paulo",1500,48.0,2.0
norte,"Limão, São Paulo Zona Norte, São Paulo",2800,98.0,3.0
norte,"Sítio Morro Grande, São Paulo Zona Norte, São Paulo",1600,40.0,2.0
norte,"Vila Marina, São Paulo Zona Norte, São Paulo",1650,47.0,2.0
norte,"Av. Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3900,80.0,3.0
