zonas,areas_quartos,enderecos,precos
sul,215 m² construídos5 quartos,"Itaim Bibi, São Paulo Zona Sul, São Paulo",13.000
sul,50 m² construídos2 quartos,"Rua Zike Tuma, 744 - Jardim Ubirajara, São Paulo - Sp, Brasil, Jardim São Jorge, São Paulo Zona Sul, São Paulo",1.000
sul,59 m² construídos1 quarto,"R. Do Manifesto, 1558, Ipiranga, São Paulo Zona Sul, São Paulo",1.399
sul,62 m² construídos2 quartos,"Rua Cândida Medeiros Da Silva, 92, Jardim Patente Novo, São Paulo Zona Sul, São Paulo",1.300
sul,78 m² construídos2 quartos,"Rua Bom Pastor, 1426, Ipiranga, São Paulo Zona Sul, São Paulo",1.550
sul,83 m² construídos2 quartos,"Rua Bom Pastor, 1426, Ipiranga, São Paulo Zona Sul, São Paulo",1.750
sul,74 m² construídos3 quartos,"Avenida Fagundes Filho, 744, Vila Monte Alegre, São Paulo Zona Sul, São Paulo",3.300
sul,33 m² construídos1 quarto,"Rua Bom Pastor, 1557, Ipiranga, São Paulo Zona Sul, São Paulo",2.100
sul,160 m² construídos2 quartos,"Rua Jean De La Huerta, 1013, Vila Brasilina, São Paulo Zona Sul, São Paulo",1.600
sul,70 m² construídos2 quartos,"R. Eduardo Carlos Pereira, 391, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",1.699
sul,60 m² construídos1 quarto,"Rua Lino Coutinho, 0836, Ipiranga, São Paulo Zona Sul, São Paulo",1.299
sul,45 m² construídos1 quarto,"Rua Malvina Ferrara Samarone, 100, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",2.000
sul,39 m² construídos2 quartos,"R. Alencar Araripe, 74, Sacomã, São Paulo Zona Sul, São Paulo",1.300
sul,45 m² totais1 quarto,"Vila Olímpia - São Paulo/sp, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.300
sul,63 m² construídos2 quartos,"Rua Mil Oitocentos E Vinte E Dois, 895, Ipiranga, São Paulo Zona Sul, São Paulo",3.400
sul,63 m² construídos2 quartos,"Rua Doutor Gentil Leite Martins, 152, Vila Nova Caledônia, São Paulo Zona Sul, São Paulo",2.100
sul,87 m² construídos2 quartos,"Rua Lino Coutinho, 0237, Ipiranga, São Paulo Zona Sul, São Paulo",2.200
sul,70 m² construídos2 quartos,"Rua Marquês De Olinda, 464, Vila Dom Pedro I, São Paulo Zona Sul, São Paulo",2.000
sul,70 m² construídos2 quartos,"R. Dr. Nicolau Alberto Defina - Jardim Da Saúde, São Paulo - Sp, Brasil, Jardim Saúde, São Paulo Zona Sul, São Paulo",1.350
sul,35 m² construídos1 quarto,"Rua José Quaresma Júnior, 675 - Parque Grajau, São Paulo - Sp, Brasil, Parque Grajaú, São Paulo Zona Sul, São Paulo",750
sul,190 m² construídos3 quartos,"Jardim Paulista, São Paulo Zona Sul, São Paulo",4.000
sul,60 m² construídos2 quartos,"Vila Do Encontro, São Paulo Zona Sul, São Paulo",1.300
sul,45 m² construídos2 quartos,"Avenida Do Cursino, 5781 - Vila Moraes, São Paulo - Sp, Brasil, Sacomã, São Paulo Zona Sul, São Paulo",1.500
sul,139 m² construídos4 quartos,"Vila Mariana, São Paulo Zona Sul, São Paulo",4.500
sul,110 m² construídos3 quartos,"Rua Doutor Fadlo Haidar, 165, Vila Olímpia, São Paulo Zona Sul, São Paulo",6.500
sul,119 m² construídos1 quarto,"Altino Arantes, Vila Clementino, São Paulo Zona Sul, São Paulo",4.100
sul,34 m² construídos1 quarto,"R. Bom Pastor, 2056, Ipiranga, São Paulo Zona Sul, São Paulo",1.600
sul,96 m² construídos2 quartos,"Avenida Giovanni Gronchi, Vila Andrade, São Paulo Zona Sul, São Paulo",3.900
sul,64 m² totais2 quartos,"Moema - São Paulo/sp, Moema, São Paulo Zona Sul, São Paulo",3.200
sul,50 m² construídos2 quartos,"R. Tabor, 491, Ipiranga, São Paulo Zona Sul, São Paulo",2.500
sul,32 m² construídos1 quarto,"Rod. Anchieta, 580, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",1.100
sul,29 m² construídos1 quarto,"R. Dr. Clemente Jobim, 65, Jardim Da Glória, São Paulo Zona Sul, São Paulo",1.500
sul,50 m² totais2 quartos,"Vila Nova Conceição - São Paulo/sp, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.600
sul,45 m² construídos2 quartos,"R. Alessandro Alberti, 21, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.200
sul,98 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.200
sul,100 m² construídos3 quartos,"Rua Xavier De Almeida, 0235, Ipiranga, São Paulo Zona Sul, São Paulo",2.500
sul,52 m² construídos2 quartos,"Av. Carioca, 745, Vila Carioca, São Paulo Zona Sul, São Paulo",2.200
sul,186 m² construídos3 quartos,"Itaim Bibi - São Paulo/sp, Itaim Bibi, São Paulo Zona Sul, São Paulo",6.800
sul,250 m² construídos4 quartos,"Largo Senador Raul Cardoso, Vila Clementino, São Paulo Zona Sul, São Paulo",10.000
sul,82 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",2.600
sul,96 m² totais2 quartos,"Jardim Paulista - São Paulo/sp, Jardim Paulista, São Paulo Zona Sul, São Paulo",3.500
sul,66 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",2.400
sul,60 m² construídos2 quartos,"R. Marquês De Lages, 1607, Vila Moraes, São Paulo Zona Sul, São Paulo",1.100
sul,45 m² construídos1 quarto,"Rua Agostinho Gomes, 1326, Ipiranga, São Paulo Zona Sul, São Paulo",1.800
sul,38 m² construídos2 quartos,"Rod. Anchieta, 580, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",1.400
sul,35 m² construídos1 quarto,"Vila Olímpia, São Paulo Zona Sul, São Paulo",4.000
sul,71 m² construídos2 quartos,"Vila Nova Conceição, São Paulo Zona Sul, São Paulo",3.150
sul,65 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",3.500
sul,74 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",2.500
sul,65 m² construídos2 quartos,"R. Lino Guedes, 128, Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",2.300
sul,68 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000
sul,89 m² construídos2 quartos,"Vila Nova Conceição, São Paulo Zona Sul, São Paulo",4.000
sul,96 m² construídos3 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",4.500
sul,280 m² construídos3 quartos,"Rua Said Aiach - Paraíso, São Paulo - Sp, Brasil, Ibirapuera, São Paulo Zona Sul, São Paulo",19.000
sul,62 m² construídos3 quartos,"Vila Moraes, São Paulo Zona Sul, São Paulo",2.000
sul,70 m² construídos1 quarto,"Vila Nova Conceição - São Paulo/sp, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",2.300
sul,35 m² construídos1 quarto,"Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",1.100
sul,55 m² totais1 quarto,"Itaim Bibi - São Paulo/sp, Itaim Bibi, São Paulo Zona Sul, São Paulo",2.950
sul,90 m² construídos3 quartos,"Rua José Antônio Coelho 764, Vila Mariana, São Paulo Zona Sul, São Paulo",5.000
sul,30 m² construídos1 quarto,"Rua Doutor Benedito Matarazzo - Parque Maria Helena, São Paulo - Sp, Brasil, Capão Redondo, São Paulo Zona Sul, São Paulo",800
sul,74 m² construídos3 quartos,"Rua Vigário Albernaz 523, Vila Gumercindo, São Paulo Zona Sul, São Paulo",1.900
sul,56 m² construídos2 quartos,"Ref 914, Jardim São Bernardo, São Paulo Zona Sul, São Paulo",1.500
sul,100 m² construídos3 quartos,"Rua Capitão Otávio Machado, 950 - Chácara Santo Antônio (zona Sul), São Paulo - Sp, Brasil, Chácara Santo Antônio (capital Zona Sul), São Paulo Zona Sul, São Paulo",4.750
sul,45 m² construídos1 quarto,"Itaim Bibi - São Paulo/sp, Itaim Bibi, São Paulo Zona Sul, São Paulo",2.000
sul,80 m² construídos3 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",4.200
sul,140 m² construídos3 quartos,"Rua José Maria Lisboa, 330 - Jardim Paulista, São Paulo - Sp, Brasil, Jardim Paulista, São Paulo Zona Sul, São Paulo",15.000
sul,65 m² construídos2 quartos,"Rua Das Camélias, Mirandópolis, São Paulo Zona Sul, São Paulo",2.500
sul,30 m² construídos1 quarto,"Rua Dos Jacintos, 15, Mirandópolis, São Paulo Zona Sul, São Paulo",2.500
sul,30 m² construídos1 quarto,"Rua Dos Jacintos, 15, Mirandópolis, São Paulo Zona Sul, São Paulo",2.500
sul,30 m² construídos1 quarto,"Rua Dos Jacintos, 15, Mirandópolis, São Paulo Zona Sul, São Paulo",2.300
sul,32 m² construídos1 quarto,"Rua Adolfo Reile, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.400
sul,40 m² construídos2 quartos,"Rua Joaquim Nunes Teixeira - Vila Plana, São Paulo - Sp, Brasil, Vila Das Belezas, São Paulo Zona Sul, São Paulo",1.500
sul,52 m² construídos2 quartos,"Rua Jaracatiá, 165 - Jardim Umarizal, São Paulo - Sp, Brasil, Campo Limpo, São Paulo Zona Sul, São Paulo",1.800
sul,52 m² construídos2 quartos,"Estrada Dos Mirandas - Jardim Maria Duarte, São Paulo - Sp, Brasil, Campo Limpo, São Paulo Zona Sul, São Paulo",1.800
sul,75 m² construídos2 quartos,"Al. Jauaperi, Moema, São Paulo Zona Sul, São Paulo",3.500
sul,262 m² construídos4 quartos,"Rua Doutor Rafael De Barros,, Paraíso, São Paulo Zona Sul, São Paulo",15.000
sul,70 m² construídos1 quarto,"Rua Itacema, Itaim Bibi, São Paulo Zona Sul, São Paulo",2.650
sul,100 m² construídos3 quartos,"R Teixeira Da Silva, Paraíso, São Paulo Zona Sul, São Paulo",5.000
sul,57 m² totais1 quarto,"Avenida Presidente Juscelino Kubitschek,, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",8.523
sul,65 m² construídos2 quartos,"Rua Correia De Lemos, Vila Mariana, São Paulo Zona Sul, São Paulo",2.900
sul,75 m² construídos3 quartos,"Rua Do Arraial, Vila Mariana, São Paulo Zona Sul, São Paulo",2.800
sul,84 m² construídos3 quartos,"Jardim Brasil (zona Sul), São Paulo Zona Sul, São Paulo",2.980
sul,67 m² construídos2 quartos,"Moema, São Paulo Zona Sul, São Paulo",4.900
sul,72 m² construídos2 quartos,"Rua Das Flechas, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",3.300
sul,96 m² construídos2 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",8.250
sul,71 m² construídos2 quartos,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",7.000
sul,62 m² construídos2 quartos,"Rua Gabriele D Annunzio, Campo Belo, São Paulo Zona Sul, São Paulo",2.750
sul,200 m² construídos3 quartos,"Rua Guarará, Jardim Paulista, São Paulo Zona Sul, São Paulo",23.000
sul,132 m² construídos3 quartos,"Vila Gertrudes, São Paulo Zona Sul, São Paulo",12.000
sul,69 m² construídos3 quartos,"Avenida Coronel Francisco Júlio César Alfieri, Vila São Paulo, São Paulo Zona Sul, São Paulo",2.600
sul,58 m² construídos2 quartos,"Rua Fernando De Noronha, Chácara Inglesa, São Paulo Zona Sul, São Paulo",2.000
sul,70 m² construídos2 quartos,"Alameda  Gabriel Monteiro Da Silva, Jardim América, São Paulo Zona Sul, São Paulo",7.000
sul,40 m² construídos1 quarto,"Avenida Jabaquara, Mirandópolis, São Paulo Zona Sul, São Paulo",175.000
sul,80 m² construídos1 quarto,"Saúde, São Paulo Zona Sul, São Paulo",2.500
sul,54 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",2.600
sul,61 m² construídos2 quartos,"Rua Balthazar Da Veiga, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",4.603
sul,23 m² construídos1 quarto,"Aclimação, São Paulo Zona Sul, São Paulo",1.080
sul,276 m² construídos4 quartos,"Campo Belo, São Paulo Zona Sul, São Paulo",10.000
sul,85 m² construídos3 quartos,"Chácara Inglesa, São Paulo Zona Sul, São Paulo",3.200
sul,50 m² construídos1 quarto,"Vila Gertrudes, São Paulo Zona Sul, São Paulo",780.000
sul,209 m² construídos4 quartos,"Vila Uberabinha, São Paulo Zona Sul, São Paulo",5.500
sul,48 m² construídos1 quarto,"Indianópolis, São Paulo Zona Sul, São Paulo",4.500
sul,48 m² construídos1 quarto,"Rua Constantino De Sousa, Campo Belo, São Paulo Zona Sul, São Paulo",2.800
sul,473 m² construídos4 quartos,"Alameda Jauaperi, Moema, São Paulo Zona Sul, São Paulo",15.000
sul,73 m² construídos2 quartos,"Alameda Dos Jurupis, Indianópolis, São Paulo Zona Sul, São Paulo",4.301
sul,210 m² construídos3 quartos,"Rua Juquis, Indianópolis, São Paulo Zona Sul, São Paulo",23.000
sul,165 m² construídos4 quartos,"Alameda Jauaperi, Moema, São Paulo Zona Sul, São Paulo",8.500
sul,118 m² construídos3 quartos,"Rua José Maria Lisboa, Jardim Paulista, São Paulo Zona Sul, São Paulo",4.000
sul,40 m² construídos1 quarto,"Vila Gertrudes, São Paulo Zona Sul, São Paulo",3.900
sul,70 m² construídos3 quartos,"Rua Cônego José Norberto, Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",2.300
sul,40 m² construídos1 quarto,"Avenida Doutor Altino Arantes, Vila Clementino, São Paulo Zona Sul, São Paulo",2.500
sul,172 m² construídos3 quartos,"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.200
sul,75 m² construídos3 quartos,"Rua Jaci, Chácara Inglesa, São Paulo Zona Sul, São Paulo",2.990
sul,137 m² construídos3 quartos,"Rua Afonso De Freitas, Paraíso, São Paulo Zona Sul, São Paulo",3.700
sul,65 m² construídos3 quartos,"Rua Professor Arnaldo João Semeraro, Jardim Santa Emília, São Paulo Zona Sul, São Paulo",1.600
sul,200 m² construídos3 quartos,"Avenida Açocê, Indianópolis, São Paulo Zona Sul, São Paulo",14.500
sul,212 m² construídos4 quartos,"Rua Guapiaçu, Vila Clementino, São Paulo Zona Sul, São Paulo",6.800
sul,130 m² construídos3 quartos,"Rua Doutor Bacelar, Vila Clementino, São Paulo Zona Sul, São Paulo",6.900
sul,71 m² construídos1 quarto,"Alameda Jaú, Jardim Paulista, São Paulo Zona Sul, São Paulo",7.000
sul,120 m² construídos3 quartos,"Rua Pedroso Alvarenga, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.600
sul,234 m² construídos3 quartos,"Rua Gabriele D Annunzio, Campo Belo, São Paulo Zona Sul, São Paulo",18.000
sul,55 m² construídos1 quarto,"Rua Doutor Paschoal Imperatriz, Vila Gertrudes, São Paulo Zona Sul, São Paulo",4.200
sul,52 m² construídos1 quarto,"Rua Guararapes, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.200
sul,157 m² construídos3 quartos,"Rua Manuel Da Nóbrega, Paraíso, São Paulo Zona Sul, São Paulo",5.200
sul,92 m² construídos2 quartos,"Jardim Dom Bosco, São Paulo Zona Sul, São Paulo",4.500
sul,85 m² construídos2 quartos,"Rua Dos Caciques, Vila Da Saúde, São Paulo Zona Sul, São Paulo",4.600
sul,60 m² construídos2 quartos,"Rua Três De Maio, Vila Clementino, São Paulo Zona Sul, São Paulo",2.500
sul,61 m² construídos2 quartos,"Avenida Doutor Altino Arantes, Vila Clementino, São Paulo Zona Sul, São Paulo",2.300
sul,265 m² construídos4 quartos,"Jardim Vila Mariana, São Paulo Zona Sul, São Paulo",5.500
sul,55 m² construídos2 quartos,"Rua Pedro De Toledo, Vila Clementino, São Paulo Zona Sul, São Paulo",2.600
sul,81 m² construídos3 quartos,"Rua Loefgreen, Vila Clementino, São Paulo Zona Sul, São Paulo",2.500
sul,65 m² construídos2 quartos,"Jardim Paulista, São Paulo Zona Sul, São Paulo",3.200
sul,100 m² construídos3 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.500
sul,76 m² construídos2 quartos,"Jardim Paulista, São Paulo Zona Sul, São Paulo",8.500
sul,75 m² construídos3 quartos,"Vila Sofia, São Paulo Zona Sul, São Paulo",2.113
sul,182 m² construídos4 quartos,"Alameda Dos Aicás, Indianópolis, São Paulo Zona Sul, São Paulo",10.000
sul,52 m² construídos1 quarto,"Rua Doutor Guilherme Bannitz, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.500
sul,30 m² construídos1 quarto,"Mirandópolis, São Paulo Zona Sul, São Paulo",2.800
sul,77 m² construídos2 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",4.850
sul,132 m² construídos2 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",11.550
sul,80 m² construídos2 quartos,"Santo Amaro, São Paulo Zona Sul, São Paulo",3.200
sul,70 m² construídos2 quartos,"Nova Piraju, São Paulo Zona Sul, São Paulo",3.100
sul,222 m² construídos4 quartos,"Vila Mariana, São Paulo Zona Sul, São Paulo",18.500
sul,116 m² construídos3 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",6.890
sul,55 m² construídos2 quartos,"Campo Belo, São Paulo Zona Sul, São Paulo",3.000
sul,300 m² construídos4 quartos,"Planalto Paulista, São Paulo Zona Sul, São Paulo",35.000
sul,44 m² construídos1 quarto,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.300
sul,82 m² construídos2 quartos,"Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",1.800
sul,141 m² construídos3 quartos,"Paraíso, São Paulo Zona Sul, São Paulo",3.800
sul,45 m² construídos1 quarto,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.200
sul,226 m² construídos4 quartos,"Vila Nova Conceição, São Paulo Zona Sul, São Paulo",22.000
sul,230 m² construídos3 quartos,"Jardim Paulista, São Paulo Zona Sul, São Paulo",3.750.000
sul,90 m² construídos3 quartos,"Rua Napoleão De Barros, Vila Clementino, São Paulo Zona Sul, São Paulo",3.000
sul,188 m² construídos3 quartos,"Rua Itacema, Itaim Bibi, São Paulo Zona Sul, São Paulo",7.700
sul,105 m² construídos2 quartos,"Rua Leopoldo Couto De Magalhães Júnior, Itaim Bibi, São Paulo Zona Sul, São Paulo",13.799
sul,47 m² construídos1 quarto,"Jardim Santo Amaro, São Paulo Zona Sul, São Paulo",3.000
sul,70 m² construídos2 quartos,"Vila Gertrudes, São Paulo Zona Sul, São Paulo",4.600
sul,188 m² construídos3 quartos,"Itaim Bibi, São Paulo Zona Sul, São Paulo",7.700
sul,51 m² construídos1 quarto,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",4.600
sul,62 m² construídos2 quartos,"Vila Nova Conceição, São Paulo Zona Sul, São Paulo",5.000
sul,147 m² construídos3 quartos,"Vila Gertrudes, São Paulo Zona Sul, São Paulo",9.980
sul,110 m² construídos3 quartos,"Jardim Paulista, São Paulo Zona Sul, São Paulo",4.000
sul,52 m² construídos1 quarto,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.500
sul,100 m² construídos3 quartos,"Jardim Das Acácias, São Paulo Zona Sul, São Paulo",4.000
sul,124 m² construídos3 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",5.000
sul,241 m² construídos3 quartos,"Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",12.000
sul,57 m² construídos2 quartos,"Paraíso Do Morumbi, São Paulo Zona Sul, São Paulo",2.000
sul,163 m² construídos4 quartos,"Avenida Portugal, Brooklin Paulista, São Paulo Zona Sul, São Paulo",6.500
sul,81 m² construídos2 quartos,"Itaim Bibi, São Paulo Zona Sul, São Paulo",4.100
sul,28 m² construídos1 quarto,"Jardim Paulista, São Paulo Zona Sul, São Paulo",3.693
sul,67 m² construídos1 quarto,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",4.500
sul,48 m² construídos1 quarto,"Vila Gertrudes, São Paulo Zona Sul, São Paulo",4.200
sul,100 m² construídos3 quartos,"Avenida Miruna, Indianópolis, São Paulo Zona Sul, São Paulo",3.690
sul,121 m² construídos1 quarto,"Jardim Paulista, São Paulo Zona Sul, São Paulo",10.000
sul,104 m² construídos2 quartos,"Vila Nova Conceição, São Paulo Zona Sul, São Paulo",11.500
sul,157 m² construídos3 quartos,"Rua Manuel Da Nóbrega, Paraíso, São Paulo Zona Sul, São Paulo",5.200
sul,200 m² construídos3 quartos,"Avenida 11 De Junho, Vila Clementino, São Paulo Zona Sul, São Paulo",3.000
sul,60 m² construídos1 quarto,"Rua Benedito Lapin, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.500
sul,240 m² construídos4 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",18.500
sul,183 m² construídos3 quartos,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",15.800
sul,34 m² construídos1 quarto,"Rua Dois De Julho, Ipiranga, São Paulo Zona Sul, São Paulo",2.600
sul,38 m² construídos1 quarto,"Avenida Onze De Junho, Vila Clementino, São Paulo Zona Sul, São Paulo",2.200
sul,93 m² construídos2 quartos,"Avenida Giovanni Gronchi, Vila Andrade, São Paulo Zona Sul, São Paulo",2.200
sul,62 m² construídos2 quartos,"Rua Miguel Yunes, Usina Piratininga, São Paulo Zona Sul, São Paulo",2.775
sul,34 m² construídos1 quarto,"Avenida Onze De Junho, Vila Clementino, São Paulo Zona Sul, São Paulo",1.900
sul,76 m² construídos2 quartos,"Jardim Paulista, São Paulo Zona Sul, São Paulo",4.500
sul,180 m² construídos4 quartos,"Vila Gertrudes, São Paulo Zona Sul, São Paulo",17.800
sul,333 m² construídos4 quartos,"Paraíso, São Paulo Zona Sul, São Paulo",12.000
sul,92 m² construídos3 quartos,"Jardim Petrópolis, São Paulo Zona Sul, São Paulo",2.200
sul,97 m² construídos3 quartos,"Rua Mirassol, Vila Clementino, São Paulo Zona Sul, São Paulo",2.800
sul,58 m² construídos2 quartos,"Rua Ilíria, Vila Moinho Velho, São Paulo Zona Sul, São Paulo",1.800
sul,232 m² construídos3 quartos,"Itaim Bibi, São Paulo Zona Sul, São Paulo",5.500
sul,120 m² construídos3 quartos,"Bosque Da Saúde, São Paulo Zona Sul, São Paulo",5.300
sul,232 m² construídos3 quartos,"Rua Tatuí, Jardim Paulista, São Paulo Zona Sul, São Paulo",6.000
sul,90 m² construídos2 quartos,"Itaim Bibi, São Paulo Zona Sul, São Paulo",5.700
sul,166 m² construídos3 quartos,"Vila Nova Conceição, São Paulo Zona Sul, São Paulo",20.000
sul,46 m² construídos1 quarto,"Jardim Paulista, São Paulo Zona Sul, São Paulo",2.120
sul,71 m² construídos2 quartos,"Alameda Franca, Jardim Paulista, São Paulo Zona Sul, São Paulo",5.200
sul,168 m² construídos3 quartos,"Alameda Lorena, Jardim Paulista, São Paulo Zona Sul, São Paulo",7.800
sul,40 m² construídos1 quarto,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.500
sul,86 m² construídos3 quartos,"Rua Marcos Lopes, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",6.300
sul,38 m² construídos1 quarto,"Avenida Onze De Junho, Vila Clementino, São Paulo Zona Sul, São Paulo",1.600
sul,140 m² construídos3 quartos,"Santo Amaro, São Paulo Zona Sul, São Paulo",6.740
sul,155 m² construídos3 quartos,"Campo Belo, São Paulo Zona Sul, São Paulo",5.000
sul,110 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",6.500
sul,44 m² construídos1 quarto,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.500
sul,51 m² construídos1 quarto,"Vila Gertrudes, São Paulo Zona Sul, São Paulo",3.500
sul,66 m² construídos2 quartos,"Rua Calixto Da Mota, Vila Mariana, São Paulo Zona Sul, São Paulo",5.000
sul,104 m² construídos1 quarto,"Vila Nova Conceição, São Paulo Zona Sul, São Paulo",10.900
sul,220 m² construídos3 quartos,"Campo Belo, São Paulo Zona Sul, São Paulo",15.000
sul,170 m² construídos3 quartos,"Itaim Bibi, São Paulo Zona Sul, São Paulo",7.500
sul,35 m² construídos1 quarto,"Cerqueira César, São Paulo Zona Sul, São Paulo",5.435
sul,95 m² construídos3 quartos,"Rua Princesa Isabel, Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.500
sul,379 m² construídos4 quartos,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",48.000
sul,55 m² construídos1 quarto,"Brooklin Paulista, São Paulo Zona Sul, São Paulo",3.500
sul,98 m² construídos2 quartos,"Itaim Bibi, São Paulo Zona Sul, São Paulo",5.128
sul,60 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.500
sul,57 m² construídos1 quarto,"Rua Apeninos, Aclimação, São Paulo Zona Sul, São Paulo",2.000
sul,80 m² construídos2 quartos,"Rua Acarapé, Chácara Inglesa, São Paulo Zona Sul, São Paulo",2.500
sul,68 m² construídos1 quarto,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.500
sul,81 m² construídos2 quartos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",6.330
sul,40 m² construídos1 quarto,"Vila Brasílio Machado, São Paulo Zona Sul, São Paulo",1.300
sul,89 m² construídos2 quartos,"Planalto Paulista, São Paulo Zona Sul, São Paulo",2.200
sul,76 m² construídos2 quartos,"Moema, São Paulo Zona Sul, São Paulo",5.000
sul,53 m² construídos2 quartos,"Rua Primeiro De Janeiro, Vila Clementino, São Paulo Zona Sul, São Paulo",1.800
sul,72 m² construídos2 quartos,"Moema, São Paulo Zona Sul, São Paulo",5.500
sul,35 m² construídos1 quarto,"Coronel Joaquim Ferreira Lôbo, Vila Nova Conceição, São Paulo Zona Sul, São Paulo",4.200
sul,157 m² construídos3 quartos,"Rua Manuel Da Nóbrega, Paraíso, São Paulo Zona Sul, São Paulo",5.500
sul,90 m² construídos2 quartos,"Rua Eça De Queiróz, Vila Mariana, São Paulo Zona Sul, São Paulo",2.500
sul,240 m² construídos4 quartos,"Planalto Paulista, São Paulo Zona Sul, São Paulo",12.000
sul,120 m² construídos2 quartos,"Itaim Bibi, São Paulo Zona Sul, São Paulo",11.000
sul,53 m² construídos2 quartos,"Vila Santa Catarina, São Paulo Zona Sul, São Paulo",3.000
sul,65 m² construídos3 quartos,"Vila Santa Catarina, São Paulo Zona Sul, São Paulo",3.000
leste,113 m² construídos3 quartos,"Chácara Santo Antônio (zona Leste), São Paulo Zona Leste, São Paulo",4.000
leste,56 m² construídos2 quartos,"Rua Barão De Monte Santo, 1619, Moóca, São Paulo Zona Leste, São Paulo",1.700
leste,43 m² construídos2 quartos,"Quinta Da Paineira, São Paulo Zona Leste, São Paulo",1.800
leste,36 m² construídos2 quartos,"Rua Wenceslau Guimarães, Parque Císper, São Paulo Zona Leste, São Paulo",1.300
leste,45 m² construídos2 quartos,"Jardim Dona Sinhá, São Paulo Zona Leste, São Paulo",1.200
leste,55 m² construídos2 quartos,"Rua Peixoto, Vila Buenos Aires, São Paulo Zona Leste, São Paulo",1.365
leste,60 m² construídos3 quartos,"Cidade Patriarca, São Paulo Zona Leste, São Paulo",1.450
leste,50 m² construídos2 quartos,"Jardim São Cristóvão, São Paulo Zona Leste, São Paulo",1.500
leste,56 m² construídos2 quartos,"Jardim Artur Alvim, São Paulo Zona Leste, São Paulo",1.100
leste,52 m² construídos2 quartos,"Cidade Patriarca, São Paulo Zona Leste, São Paulo",1.500
leste,52 m² construídos2 quartos,"Rua Oscar Mariano Da Silva, Vila Robertina, São Paulo Zona Leste, São Paulo",1.650
leste,70 m² construídos2 quartos,"Vila Regente Feijó, São Paulo Zona Leste, São Paulo",4.500
leste,75 m² construídos3 quartos,"Vila Prudente, São Paulo Zona Leste, São Paulo",2.200
