zonas,areas_quartos,enderecos,precos
norte,50 m² construídos2 quartos,"Rua Guaraja, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.450
norte,68 m² construídos2 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.900
norte,40 m² construídos2 quartos,"Vila Zat, São Paulo Zona Norte, São Paulo",1.200
norte,102 m² construídos3 quartos,"Rua Itaici, Santa Teresinha, São Paulo Zona Norte, São Paulo",3.000
norte,60 m² construídos2 quartos,"Rua Chico Pontes, Vila Guilherme, São Paulo Zona Norte, São Paulo",1.400
norte,50 m² construídos2 quartos,"Jardim Maristela, São Paulo Zona Norte, São Paulo",1.100
norte,40 m² construídos2 quartos,"Rua Monte D Ouro, Tucuruvi, São Paulo Zona Norte, São Paulo",1.540
norte,133 m² construídos3 quartos,"Rua Marechal Hermes Da Fonseca, Santana, São Paulo Zona Norte, São Paulo",5.000
norte,117 m² construídos3 quartos,"Rua Guaranésia, Vila Maria, São Paulo Zona Norte, São Paulo",2.600
norte,45 m² construídos2 quartos,"Avenida Nelson Palma Travassos, Loteamento City Jaragua, São Paulo Zona Norte, São Paulo",1.386
norte,54 m² construídos2 quartos,"Vila Amália, São Paulo Zona Norte, São Paulo",1.350
norte,44 m² construídos1 quarto,"Rua Ezequiel Freire, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,50 m² construídos2 quartos,"Vila Primavera, São Paulo Zona Norte, São Paulo",1.100
norte,34 m² construídos2 quartos,"Rua Nereu Rangel Pestana, Brasilândia, São Paulo Zona Norte, São Paulo",1.300
norte,63 m² construídos3 quartos,"Avenida Sebastião Henriques, Vila Siqueira (zona Norte), São Paulo Zona Norte, São Paulo",2.300
norte,490 m² construídos4 quartos,"Rua Deputado Laércio Cortes, Parque Tietê, São Paulo Zona Norte, São Paulo",16.000
norte,134 m² construídos3 quartos,"Santana, São Paulo Zona Norte, São Paulo",5.000
norte,80 m² construídos3 quartos,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3.900
norte,70 m² construídos3 quartos,"Rua Filipe Da Silva, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.800
norte,70 m² construídos2 quartos,"Rua Marechal Hermes Da Fonseca, Santana, São Paulo Zona Norte, São Paulo",2.200
norte,72 m² construídos3 quartos,"Avenida Do Guacá, Lauzane Paulista, São Paulo Zona Norte, São Paulo",3.900
norte,20 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.500
norte,42 m² construídos2 quartos,"Rua Doutor Fleury Silveira, Vila Santa Maria, São Paulo Zona Norte, São Paulo",1.650
norte,38 m² construídos1 quarto,"Vila Leonor, São Paulo Zona Norte, São Paulo",1.080
norte,200 m² construídos4 quartos,"Vila Maria Alta, São Paulo Zona Norte, São Paulo",7.500
norte,62 m² construídos2 quartos,"Vila Roque, São Paulo Zona Norte, São Paulo",1.600
norte,58 m² construídos2 quartos,"Rua Durval Fontoura Castro, Vila Paulista, São Paulo Zona Norte, São Paulo",2.100
norte,68 m² construídos3 quartos,"Rua Togo, Jardim Japão, São Paulo Zona Norte, São Paulo",1.900
norte,48 m² construídos2 quartos,"Sítio Morro Grande, São Paulo Zona Norte, São Paulo",1.550
norte,65 m² construídos2 quartos,"Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.600
