zonas_leste,zonas_norte,zonas_oeste,zonas_sul,quarto,area,precos
0,1,0,0,0.6931471805599453,3.6888794541139363,7.170888478512505
0,1,0,0,1.3862943611198906,4.110873864173311,7.601402334583733
0,0,0,1,1.0986122886681096,4.454347296253507,8.434028950155469
1,0,0,0,1.0986122886681096,4.356708826689592,8.101980731853192
0,0,1,0,1.0986122886681096,4.189654742026425,8.160803920954665
0,0,1,0,0.6931471805599453,4.110873864173311,7.601402334583733
0,0,0,1,1.6094379124341003,5.6240175061873385,9.210440366976517
1,0,0,0,1.0986122886681096,3.9318256327243257,7.313886831633462
0,0,1,0,0.6931471805599453,3.5553480614894135,7.901377353792616
0,0,1,0,1.3862943611198906,5.181783550292085,8.665785595466064
0,1,0,0,1.3862943611198906,4.477336814478207,8.160803920954665
1,0,0,0,0.6931471805599453,3.9512437185814275,8.294299608857235
0,1,0,0,0.6931471805599453,3.6888794541139363,7.170888478512505
1,0,0,0,1.3862943611198906,4.532599493153256,8.412054873292933
1,0,0,0,1.3862943611198906,4.290459441148391,8.071218539969863
0,1,0,0,1.0986122886681096,3.8918202981106265,7.313886831633462
0,0,1,0,1.3862943611198906,4.663439094112067,8.294299608857235
0,0,1,0,1.3862943611198906,5.1298987149230735,9.012011377036412
1,0,0,0,1.0986122886681096,4.2626798770413155,7.496097345175956
0,0,0,1,1.0986122886681096,3.9889840465642745,7.496097345175956
0,0,1,0,1.3862943611198906,5.351858133476067,9.392745258631441
0,0,1,0,1.3862943611198906,4.204692619390966,7.601402334583733
0,1,0,0,0.6931471805599453,3.6888794541139363,7.170888478512505
0,0,0,1,0.6931471805599453,3.713572066704308,7.972810784121404
1,0,0,0,1.0986122886681096,3.9318256327243257,7.280008252884188
0,0,0,1,1.0986122886681096,4.499809670330265,8.294299608857235
0,0,0,1,1.3862943611198906,5.241747015059643,8.94910546953925
1,0,0,0,1.0986122886681096,3.9318256327243257,7.00397413672268
0,0,1,0,1.0986122886681096,4.110873864173311,7.972810784121404
0,0,0,1,0.6931471805599453,4.2626798770413155,7.741099090035366
1,0,0,0,1.0986122886681096,4.04305126783455,6.90875477931522
0,0,1,0,0.6931471805599453,3.5553480614894135,8.071218539969863
0,0,1,0,1.0986122886681096,4.31748811353631,7.4127640174265625
1,0,0,0,1.3862943611198906,4.709530201312334,8.006700845440367
0,0,1,0,1.0986122886681096,4.394449154672439,7.696667081526462
0,0,1,0,1.0986122886681096,4.634728988229636,8.81001204797317
0,1,0,0,1.0986122886681096,4.343805421853684,8.160803920954665
0,1,0,0,0.6931471805599453,3.6888794541139363,7.170888478512505
0,1,0,0,1.0986122886681096,4.07753744390572,7.640603826393634
0,1,0,0,0.6931471805599453,3.6888794541139363,7.170888478512505
0,0,1,0,1.3862943611198906,4.663439094112067,7.901377353792616
1,0,0,0,1.0986122886681096,3.9318256327243257,7.3783837129967145
1,0,0,0,1.0986122886681096,3.9318256327243257,7.601402334583733
1,0,0,0,1.0986122886681096,3.8918202981106265,7.00850518208228
0,0,1,0,1.3862943611198906,4.290459441148391,7.550135342488429
0,0,0,1,1.0986122886681096,4.110873864173311,7.650168700845001
1,0,0,0,1.3862943611198906,4.532599493153256,8.412054873292933
1,0,0,0,1.6094379124341003,6.20050917404269,8.77971129020447
0,1,0,0,0.6931471805599453,3.9889840465642745,6.803505257608338
0,1,0,0,1.0986122886681096,3.9318256327243257,7.550135342488429
0,1,0,0,1.3862943611198906,4.23410650459726,7.824445930877619
0,0,1,0,1.0986122886681096,4.394449154672439,8.006700845440367
0,0,0,1,1.0986122886681096,4.499809670330265,7.696667081526462
0,0,0,1,1.3862943611198906,4.584967478670572,7.937731775260109
1,0,0,0,0.6931471805599453,3.58351893845611,6.85751406254539
0,0,1,0,1.0986122886681096,4.875197323201151,8.682877107057168
1,0,0,0,0.6931471805599453,4.418840607796598,9.23024103368252
0,0,0,1,1.0986122886681096,4.2626798770413155,8.03947991910045
0,1,0,0,1.0986122886681096,4.189654742026425,7.934155233536322
0,0,0,1,1.0986122886681096,4.276666119016055,8.556606193773073
0,1,0,0,1.0986122886681096,4.110873864173311,7.43307534889858
0,1,0,0,0.6931471805599453,3.6888794541139363,7.170888478512505
1,0,0,0,1.3862943611198906,4.663439094112067,8.517393171418904
0,1,0,0,1.3862943611198906,4.3694478524670215,7.313886831633462
1,0,0,0,1.0986122886681096,3.7612001156935624,6.68586094706836
1,0,0,0,1.0986122886681096,4.110873864173311,7.937731775260109
0,0,1,0,1.3862943611198906,4.143134726391533,7.170888478512505
0,0,0,1,1.3862943611198906,4.394449154672439,8.343077871169383
1,0,0,0,1.3862943611198906,5.25227342804663,9.38437770918244
0,1,0,0,1.0986122886681096,4.248495242049359,7.313886831633462
0,0,0,1,0.6931471805599453,4.804021044733257,9.210440366976517
1,0,0,0,1.0986122886681096,3.8918202981106265,6.862757913051401
0,0,1,0,1.0986122886681096,3.828641396489095,7.313886831633462
0,1,0,0,0.6931471805599453,3.58351893845611,7.00397413672268
1,0,0,0,1.0986122886681096,3.8066624897703196,7.170888478512505
0,1,0,0,1.0986122886681096,3.828641396489095,7.346655163176539
0,0,1,0,1.3862943611198906,4.762173934797756,8.612685172875459
0,0,0,1,1.3862943611198906,5.488937726156687,9.392745258631441
0,1,0,0,1.0986122886681096,4.219507705176107,8.507344855361422
0,0,0,1,1.0986122886681096,4.2626798770413155,7.208600337960199
0,0,1,0,1.3862943611198906,4.3694478524670215,7.438971592395862
0,0,0,1,1.3862943611198906,5.3981627015177525,9.61587214452889
1,0,0,0,1.0986122886681096,3.828641396489095,7.0909098220799835
0,0,1,0,0.6931471805599453,3.8066624897703196,8.006700845440367
0,0,1,0,1.0986122886681096,4.2626798770413155,8.294299608857235
0,1,0,0,1.0986122886681096,4.304065093204169,7.989899374942939
0,0,1,0,1.0986122886681096,4.3694478524670215,8.476579508530941
0,0,1,0,1.3862943611198906,4.795790545596741,8.748463629942055
0,0,1,0,1.0986122886681096,4.110873864173311,7.3783837129967145
